index,Texto,Texto limpio,Categoría
2920,#ÚltimoMomento | El miércoles procesarán acusación contra Trump en la Cámara de Representantes: Jim McGovern https://t.co/bSuJji1mIj https://t.co/4kf2ZQmpsN,música mejor medicinas,Noticia
445,"La vida te va enseñando quien si, quien no y quien nunca.",dinero galvanochoa peso amanece fuerte dólar cotizando constitución estipula caso falta absoluta presidente sria gobernación asumiría provisionalmente titularidad ejecutivo caso,Frase/Pensamiento
5668,"Un martes bajo las estrellas los niños corrían y jugaban entre escombros. El país estaba devastado, pero había terminado la guerra.",martes bajo estrellas niños corrían jugaban escombros país devastado terminado guerra,Microficción
3365,"Muere juez chileno Juan Guzmán Tapia, primero en procesar a Augusto Pinochet
https://t.co/n6OoZkYIgF https://t.co/T1zMfiZZfj",tal vez querías resulté ser necesitabas cosa cierta merecías,Noticia
6855,"Siempre buscaba un amor de reserva, tener al menos dos a mano. 
-Es que tengo una gran capacidad de amar- se decía.
La realidad es que necesitaba recibir el amor que ella misma era incapaz de darse. Lo peor, ni siquiera se daba cuenta.
#Monoficción",siempre buscaba amor reserva tener menos dos mano gran capacidad amar decía realidad necesitaba recibir amor misma incapaz darse peor siquiera daba cuenta monoficción,Microficción
680,"""Los aeropuertos ven más besos sinceros que las bodas. Los muros de hospitales han escuchado más oraciones reales que las iglesias.""",últimomomento miércoles procesarán acusación trump cámara representantes jim mcgovern,Frase/Pensamiento
6946,El día en la que la maestra contabilizó 150 historias diferentes sobre por qué no le habían llevado la tarea decidió darle un 10 a la más original. #juevesconcuento,día maestra contabilizó historias diferentes llevado tarea decidió darle original juevesconcuento,Microficción
5115,"@DagmarSola Vagaban bajo el sol radiante por el desierto.
-¿Y qué es un monstruo?
Manuel no pudo más. La sed, la cháchara incesante y sus adivinanzas.
-¡Esto!-se giró y, de un movimiento, le cortó el cuello. Se desplomó y le vio agonizar. 
""A falta de agua"",pensó, y empezó a beber su sangre.",dagmarsola vagaban bajo sol radiante desierto monstruo manuel pudo sed cháchara incesante adivinanzas estose giró movimiento cortó cuello desplomó vio agonizar falta aguapensó empezó beber sangre,Microficción
2056,Sonrisas que solo llevan tu nombre.,mil sismos importante junio magnitud,Frase/Pensamiento
6972,"@herrera_fk Tienes razón...
-Silencio- susurró con gritos ahogados.
Un círculo luminoso luz pasó por encima suyo. Segundos después les iluminaba.
Corrieron como nunca, cayeron muertos justo antes de llegar al bosque.
#cuentosin",herrera_fk razón silencio susurró gritos ahogados círculo luminoso luz pasó encima segundos después iluminaba corrieron nunca cayeron muertos justo llegar bosque cuentosin,Microficción
3037,#AristeguiEnVivo Los republicanos han cerrado filas: 45 de los 50 que integran las 100 curules del Senado dijeron que exonerarían al expresidente Trump. Los demócratas dejaron claro que se convocará a la Enmienda 14 para inhabilitarlo en el ámbito político https://t.co/4Bf2RqIl5E https://t.co/eg8EcwG15t,teléfonos emails facebook twitter whatsapp cartas telegramas señales humo si habla quiere,Noticia
5823,¡Silencio! Gritó en el desierto. Sonrió. Por primera vez sentía que le hacían caso. #juevesconcuento,silencio gritó desierto sonrió primera vez sentía hacían caso juevesconcuento,Microficción
7347,@banju uuupssss. Gracias :P,banju uuupssss gracias p,Microficción
4124,Reporteros de Morelos piden a sus fuentes garantizar medidas sanitarias tras 6 muertes por Covid-19 https://t.co/TxWM2f989R https://t.co/bywNlmDZCZ,elijas mejor persona elije persona haga mejor,Noticia
6396,"Escribió con las yemas en su espalda.Era una tinta invisible, que ardía y estremecía sin dejar marca.Él ya extrañaba esas letras, esos dedos",escribió yemas espaldaera tinta invisible ardía estremecía dejar marcaél extrañaba letras dedos,Microficción
6372,"El microrrelatista tenía tal sequía literaria que #tuitutil publicaba más en su timeline que él.
#Mtintachida",microrrelatista tal sequía literaria tuitutil publicaba timeline mtintachida,Microficción
4603,"#AristeguiEnVivo | Es importante afrontar el duelo con claridad como familia. Brindamos una serie de herramientas y elementos estratégicos que ayudarán a los niños y a los adultos en el cierre, explica Miripina Menéndez https://t.co/UOrn1hUN0G https://t.co/4DP03DZwqw",podemos ir vida intentando ordenar caos ajeno,Noticia
2773,"Será el actual un sexenio perdido: Coparmex
https://t.co/4usW6ZD3ic https://t.co/luO7dCVM3Q",momentos sabes cómo sientes,Noticia
1807,"""Estoy cansado pero no vencido.""",aristeguienvivo hace tres años robaron primera vez casamorgana año pasado volvieron entrar delincuentes hace meses recibido llamadas tratando hacernos fraude situación desesperanzadora explica kmiret,Frase/Pensamiento
399,"""El mejor maestro es el tiempo. Sin necesidad de que hagas preguntas, te da las mejores respuestas.""",ine daba candidaturas registros partidos órdenes presidente dice amlo,Frase/Pensamiento
4702,Las plumas de la Serpiente: Cuando la peste llegó a casa https://t.co/JnhtDTbBIu https://t.co/Nx4mepFTDJ,millones sonrisas mundo preferida,Noticia
3988,#AristeguiEnVivo Córdova quiere exceder los poderes del #INE y confunde información con propaganda. El instituto debería definir claramente el término para consensar en la opinión pública y multar al presidente en caso de que incumpla: @sabinaberman 👉 https://t.co/I9lBbfp6Xo https://t.co/OhFpf7wxsV,quedes ganas hazlo,Noticia
4623,"""Haremos algo, pero todavía no"": las primeras declaraciones de Trump tras dejar la Presidencia
https://t.co/45XXAh0RwO https://t.co/6GGbdtMEV2",contigo vida sigue,Noticia
4544,"#LoMejordeAristeguienVivo | Trump podría demandar a redes sociales: Pérez de Acha | Pandemia cambiará forma de enfrentar problemas de salud: experto | #Video
https://t.co/PJhWbyJOym https://t.co/CgoU5IDtb4",prometí día siempre iba ahí malas buenasy aunque hables hableesa promesa quedará guardada,Noticia
6522,"Era tanto lo que la amaba que su corazón acabó estallando en mil pedazos. La onda expansiva generó una legión de enamorados y ella se evitó el apuro de tener que decirle que no estaba enamorada de él.
 #Monoficción",amaba corazón acabó estallando mil pedazos onda expansiva generó legión enamorados evitó apuro tener decirle enamorada monoficción,Microficción
5091,"Tu sonrisa, siempre tu sonrisa... La de tus ojos, la de tu boca, la de tu sexo, todas provocan. #jueverotic",sonrisa siempre sonrisa ojos boca sexo todas provocan jueverotic,Microficción
3131,"#AristeguiEnVivo | Las imágenes del fin de semana nos dicen que Guatemala está violando la Convención de 1951 sobre derechos de los refugiados. Quienes intentaban cruzar son personas que huyen de la violencia en Honduras, explica @CORCUERAS 👉 https://t.co/WKcV5dSVqr https://t.co/KveKzRf2A9",vida temporal si cosas van bien disfruta si cosas van mal preocupes va durar siempre tampoco,Noticia
1803,"""Porque un abrazo en el momento indicado, no tiene precio.""",taro kono siembra primeras dudas oficiales celebración jo tokio repunte covid,Frase/Pensamiento
676,"""Nunca te rindas, a veces la última llave es la que abre la puerta.""",disputa tierras deja familias desplazadas casas quemadas chiapas video,Frase/Pensamiento
6654,Adiós Sus palabras se le clavaron como púas de horqueta.,adiós palabras clavaron púas horqueta,Microficción
1408,"No temas, que yo soy contigo; no desmayes, que yo soy tu Dios que te esfuerzo: siempre te ayudaré, siempre te sustentaré con la diestra de mi justicia - Josué 41:10",pandemia renovó cultura sospecha servidumbre docilidad marina garcés,Frase/Pensamiento
6487,"-Te desperté un martes
-No osita, era lunes
-¿seguro caramelito?
-Sí bomboncito
Apenas empezaban la historia y ya sentía náuseas. #martesmge",desperté martes osita lunes seguro caramelito bomboncito apenas empezaban historia sentía náuseas martesmge,Microficción
5207,Dios se carcajeaba con las caras de incredulidad de los humanos. Cómo no se le había ocurrido antes hacer que lloviera sangre?,dios carcajeaba caras incredulidad humanos cómo ocurrido hacer lloviera sangre,Microficción
2118,"""La mejor forma de ser feliz con alguien es aprender a ser feliz solo. Así, la compañía es una elección, no una necesidad.""",libros semana joseph roth terry tempest williams,Frase/Pensamiento
840,"“Odio acostumbrarme a hablar con una persona a toda hora, y cuando dejo de hacerlo siento que me falta algo.”",evidente emergencia social obliga gobierno replantear solo programas prioritarios inicio administración sino toda estrategia,Frase/Pensamiento
4472,Mantiene Televisa el control en televisión restringida: IFT https://t.co/wursa9i5UZ https://t.co/OVI0dt6uRf,tiempo pone cada lugar,Noticia
2786,Trump buscará todos los medios para descarrilar presidencia de Biden: investigador https://t.co/z5mm8uUMOh https://t.co/S81OxwsxJP,normalicen ser directos decir cosas,Noticia
3280,#Titulares🇲🇽 | AMLO prepara ley para eliminar organismos autónomos y Trump reconoce su derrota https://t.co/xmuQDYJpnP https://t.co/jARNBIbdBo,sé paciente veces pasar peor conseguir mejor,Noticia
7453,"Un martes me desperté en otro mundo; así, de la nada. Todo era igual pero diferente. Las cosas parecían brillar más, mi felicidad había crecido exponencialmente. Tardé en darme cuenta de que la única diferencia real era que tú estabas en mi vida. #martesmge @megustaescribir",martes desperté mundo así igual diferente cosas parecían brillar felicidad crecido exponencialmente tardé darme cuenta única diferencia real vida martesmge megustaescribir,Microficción
994,"""Tarde o temprano; todo lo que se hace se paga.""",aristeguienvivo asunto actuar absoluta transparencia rendiciones cuenta damos mexicanos darse nivel nacional internacional gertz manero,Frase/Pensamiento
564,Quiero un abrazo de esos que sin palabras te hacen sentir que todo estará bien.,ofrece walmart méxico apoyo módulos vacunación anticovid,Frase/Pensamiento
5559,"- No tengo dinero agente.
- Hágame una mamada.
Se bajó del carro sonriendo, le quitó la gorra y la lanzó al carril central.
#Monoficción",dinero agente hágame mamada bajó carro sonriendo quitó gorra lanzó carril central monoficción,Microficción
5742,"Desapareció dejando tras de sí un reguero de cristales rotos. El detective aseguraba que era un golpe interno. Pero, ¿robar solo un maniquí? Mientras, en un callejón oscuro, con una conciencia recién adquirida, el maniquí se preguntaba quién era y dónde estaba. 
 #FactorDUAL",desapareció dejando tras reguero cristales rotos detective aseguraba golpe interno robar solo maniquí mientras callejón oscuro conciencia recién adquirida maniquí preguntaba quién dónde factordual,Microficción
595,"""Nunca renuncies a las cosas que realmente te hacen sonreír.""",caro quintero mandó corona fúnebre muerte hijo azul,Frase/Pensamiento
3635,INE ordenó a Presidente y otros funcionarios que no hagan declaraciones que violen neutralidad política https://t.co/rrA0YdPDAI https://t.co/9Ze8knXHnd,quiere comprenderá tres cosas dolor detrás sonrisa amor detrás rabia razones detrás silencio,Noticia
5404,"-Me la rechaza.
-Pruebe otra vez.
-Señora...
-Pruebe otra vez-silabeó mientras miraba de reojo la sonrisa de su vecina.",rechaza pruebe vez señora pruebe vezsilabeó mientras miraba reojo sonrisa vecina,Microficción
7478,La cabaña ardió con él dentro por tercera vez en esa semana. Aún adolorido continuó buscando una salida que no existía.,cabaña ardió dentro tercera vez semana aún adolorido continuó buscando salida existía,Microficción
7483,"@megustaescribir Un martes perdido en una isla desierta contigo. Navegando en tu mirada, meciéndome en tu sonrisa. Tú testaruda con que la playa de al lado es mejor aunque esté repleta de cangrejos, arrugando tu nariz cuando sonríes... ¿Con quién más querría estar? #martesmge",megustaescribir martes perdido isla desierta contigo navegando mirada meciéndome sonrisa testaruda playa lado mejor aunque repleta cangrejos arrugando nariz sonríes quién querría martesmge,Microficción
2257,Cossío analiza el libro 'Un daño irreparable. La criminal gestión de la pandemia en México' https://t.co/EXxOuH3HA0 https://t.co/jjQB4vznv3,ine aprueba plataformas electorales partidos políticos nacionales,Noticia
87,"Estabilidad y seguridad, alguien que te haga sentir tan cómodo que no dudes si te quieren o no.",difunden foto amlo trabajando pacta putin envío millones vacunas sputnik v méxico,Frase/Pensamiento
593,"Te darás cuenta de que lo que hoy parece un sacrificio, va a terminar siendo el mayor logro de tu vida.",permitirá agandalle vacunación covid19 zoé robledo,Frase/Pensamiento
2385,Beatriz Gutiérrez Müller dio negativo a la prueba PCR de Covid-19 https://t.co/RXTpWPileI https://t.co/qlYaBkgWH8,anuncian nominados premio gabo operación hermes publicada an,Noticia
7173,"Paradójicamente, la calle Derechos Humanos era una vía privada.",paradójicamente calle derechos humanos vía privada,Microficción
3656,"Propone México a Joe Biden crear un programa para mitigar la crisis económica por pandemia
https://t.co/qUquQ0D7IE https://t.co/B5rVPa2vgc",miedo cambios asúmelos nuevos retos enfrentarte cosas nuevas,Noticia
5761,200 humanos habían sobrevivido a la guerra nuclear y murieron en menos de una hora por un lote de Gansitos caducados.,humanos sobrevivido guerra nuclear murieron menos hora lote gansitos caducados,Microficción
3898,Reconocen a personal de enfermería por su lucha contra el Covid-19 https://t.co/oW5z6lpnAV https://t.co/qvbGXPtHK6,busques cuentos final feliz busca ser feliz cuento,Noticia
1759,"""No importa qué débil te sientas, manténte fuerte.""",habla mexicano probó vacuna sputnikv,Frase/Pensamiento
2826,"El presidente está evolucionando bien y está de buen humor: López-Gatell
https://t.co/1elchP8Nce https://t.co/3hbWCBE345",prefiero pensar mal sorprenderme pensar bien decepcionarme,Noticia
7508,"-Padre, Dios nos va a castigar.
-No tanto como me castigan tus caderas cuando veo que te alejas. #jueverotic",padre dios va castigar castigan caderas veo alejas jueverotic,Microficción
4762,"Tropieza ManU ante el sotanero de la Premier League | Tuit
https://t.co/84TAIC7BVx https://t.co/4D9ttGYnfY",cima amigos conocerán abajo conocerás,Noticia
2555,#ÚltimaHora | AMLO y Biden hablarán por teléfono este viernes: Jesús Esquivel https://t.co/3Ucq6XlzWw https://t.co/WyE7WoRe4m,destaca rosa icela rodríguez tendencia baja delitos alto impacto,Noticia
4292,"Aunque moderaron su avance en noviembre, remesas de 11 meses superaron a las de todo 2019 https://t.co/exJhejudZc https://t.co/N95AguPXfj",cualquier persona puede hacerte feliz haciendo especial solo alguien especial puede hacerte feliz hacer,Noticia
4690,Nadie se esperaba que Brexit se daría en medio de una pandemia: Heredia https://t.co/ieYr1Fl2vy https://t.co/wm2avVN8vz,amo besos abrazos sonrisa cuerpo bondad amor aroma palabras,Noticia
2538,Virus de la violencia en México mata a 10 mujeres al día durante 2020 https://t.co/mmUhFzskhL https://t.co/fFfcDOhAQk,apple retira app promovía fiestas clandestinas pandemia,Noticia
1702,"Conoceré a alguien que me quiera con toda su alma, los trescientos sesenta y cinco días del año.",aristeguienvivo tras realizar mil encuestas países encontró cada personas pretenden vacunarse méxico temor efectos adversos hablar sondeo hablamos laura ruvalcaba pdta brain,Frase/Pensamiento
6335,@EdyNightmare Se reían de las teorías de que querían esterilizar a la población. Nada mejor que una guerra para controlar la natalidad.,edynightmare reían teorías querían esterilizar población mejor guerra controlar natalidad,Microficción
1796,"""Tu sigues siendo en lo primero que pienso cuando me dicen pide un deseo.""",ordenen jiutepec morelos suspender instalación tianguis prevenir contagios coronavirus,Frase/Pensamiento
6801,"-El martes saldré a la calle a conquistarte, con serenata y flores – me dije entusiasmado. Lo peor no fue el aguacero que cayó, sino el que me ocasionaste con tu desdén.",martes saldré calle conquistarte serenata flores dije entusiasmado peor aguacero cayó sino ocasionaste desdén,Microficción
4175,"Las 10 notas más leídas de AMLO este 2020
https://t.co/Dq1Vdymxle https://t.co/OeeJM1XDgq",verdaderos hombres sacan sonrisas lágrimas,Noticia
1990,El que busca la verdad corre el riesgo de encontrarla.,aristeguienvivo acuerdo último corte análisis redes sociales mil tuits mil positivos sólo cerca mil expresaban negativamente presidente precisa jesusrcuevas,Frase/Pensamiento
731,"""Si no te busco como antes es porque me has dado las razones suficientes para no hacerlo.""",llegan fin cuatro años donald trump toma poder joe biden presidente número unidos,Frase/Pensamiento
1985,"""Amar a alguien que no te ama es como abrazar a un cactus. Cuanto más firme te mantengas, más duele."" Wiz Khalifa",reportará inegi principales causas muerte covid primeras dos,Frase/Pensamiento
5689,"-Añade una copa de vino.
-No hombre, para qué.
-Le da sabor.
-No, Manuel, nada de vino.
-Ya que me torturan por lo menos un poquito de alcohol para pasar mejor el trago-gritó el pollo desde la olla.
#wordtober21",añade copa vino hombre da sabor manuel vino torturan menos poquito alcohol pasar mejor tragogritó pollo olla wordtober21,Microficción
365,Yo te amé cuando las razones para odiarte eran muchas.,ampliar información tema invitamos revisar nota ofrecían pri capitalino mil pesos dar servicios sexuales gutiérrez torre publicada octubre,Frase/Pensamiento
1333,"""Soy fuerte porque fui débil. Soy sabio porque fui tonto. Me río porque yo he conocido la tristeza.""",biden presentará jueves nominados departamento justicia,Frase/Pensamiento
2235,Describe tu 2019 en 3 palabras.,pierdas segunda parte entrevista mike vigil ex director operaciones internacionales dea caso cienfuegos mañana programa aristeguienvivo,Frase/Pensamiento
6304,"@yosoytuotroyo Hoy con #cuentosde10 me acordé de ti....

Nadie veía la desnudez de su alma, solo su cuerpo. #cuentosde10",yosoytuotroyo hoy cuentosde10 acordé nadie veía desnudez alma solo cuerpo cuentosde10,Microficción
4842,NBA: No hará Lakers un homenaje en el primer aniversario luctuoso de Kobe Bryant https://t.co/1NVyyaiZXD https://t.co/AQcLLjfUxD,maldad circunstancias entorno educación inculcan enseñan hombres innata,Noticia
1869,"""No soy perfecto y no pretendo serlo, pero antes de señalarme con el dedo, por favor... lávate las manos."" Bob Marley",exoneran cienfuegos uso electoral vacuna covid columnaspolíticas viernes,Frase/Pensamiento
4257,#FelizViernes 🙂 | Trump promete transición suave; retoman caso de Salgado Macedonio; energías renovables y más. Sigue la transmisión en #AristeguiEnVivo 👉 https://t.co/YiXSs46MJN https://t.co/PXDike0f8h,si niegas hacer gran locura jamás buen recuerdo,Noticia
6731,"Un conejo con ukelele dentro del corazón de los humanos se encargaba de componer alegría.
 #juevesconcuento",conejo ukelele dentro corazón humanos encargaba componer alegría juevesconcuento,Microficción
7534,"@megustaescribir Un martes me subí al avión, huyendo de un país en bancarrota, cargado de sueños y una promesa. Ahora me niego a cumplirla, no volveré, ahora este es mi hogar. #martesmge",megustaescribir martes subí avión huyendo país bancarrota cargado sueños promesa ahora niego cumplirla volveré ahora hogar martesmge,Microficción
1117,Mi lado tierno sólo lo conoce quien se lo merece.,trump incitó ataque capitolio mentiras elecciones constitucionalista,Frase/Pensamiento
6462,-¡Lentos!- gritaba el segundero cada vez que pasaba a las otras manecillas sin darse cuenta que siempre acababa en el mismo sitio.,lentos gritaba segundero cada vez pasaba manecillas darse cuenta siempre acababa mismo sitio,Microficción
1165,"A veces encajas perfectamente con alguien, pero no es el lugar indicado",aristeguienvivo información archivo compartió fgr puede bloqueada art 6o constitución garantiza principio máxima publicidad inai importantísimo jrcossio,Frase/Pensamiento
4174,De la revolución de Davis a la espiritualidad de Coltrane: El jazz en 1970 | Playlist https://t.co/MqMngLqdWK https://t.co/uXR6trmcGV,hable significa extrañe,Noticia
4727,El Papa no encabezará servicios de año nuevo por malestar en una pierna https://t.co/gSHuMfy4eW https://t.co/E3wisEnbn9,algún día dejaremos soñarnos hacernos realidad besos,Noticia
4239,Crecerá 4.3% la economía mexicana en 2021: FMI https://t.co/2Hl0ZZIHab https://t.co/TltFAUusSy,buena relación compuesta confianza atención admiración mutua paciencia humor perdón olvido,Noticia
5617,"Bailas, y la marea humana que nos rodea deja de existir.Tus ojos brillan, reflejando una sonrisa que solo consigo a tu lado. Me das la mano, mi corazón se dispara y una lesbiana acude a tu rescate pero no quieres ser salvada. Terminamos en mi casa viendo las estrellas.#jueverotic",bailas marea humana rodea deja existirtus ojos brillan reflejando sonrisa solo consigo lado das mano corazón dispara lesbiana acude rescate quieres ser salvada terminamos casa viendo estrellasjueverotic,Microficción
490,"No te apures, todo después de un tiempo te deja de doler o te deja de importar.",acto humanitario otorgar indulto assange amlo,Frase/Pensamiento
4251,#PrimerasPlanas🌍 | Juicio a Trump y las medidas europeas anti-Covid  https://t.co/jaZlnpzmWK https://t.co/R7ysIbrjhR,ten capacidad renunciar aquello dañando,Noticia
3122,"EU reporta primer caso de la variante del coronavirus
https://t.co/wuUkIM28EU https://t.co/D53KktH9Xc",finales felices existen buenas historias final bob marley,Noticia
3866,"#AristeguiEnVivo | Hoy por la madrugada, se robaron 61 cilindros de oxígeno en Puebla, uno de los estados con más problemas al respecto. Lo tanques robados, terminan vendiéndose en Facebook con perfiles falsos: @SheffieldGto 👉https://t.co/DqnVTuiWPT https://t.co/nmV4lnUI7E",relación aguantar sufrir juntos,Noticia
7773,Salió de la pantalla furioso y acribilló al adolescente con su glock. Por su culpa había muerto 137 veces ese día.,salió pantalla furioso acribilló adolescente glock culpa muerto veces día,Microficción
5781,"Mi entrepierna aún recuerda cada vez que te corrías. Las yemas de mis dedos, la piel tersa de tus nalgas cuando te cargaba. Mi lengua, el sabor de tu sudor. Mi suelo, tu ropa. #jueverotic",entrepierna aún recuerda cada vez corrías yemas dedos piel tersa nalgas cargaba lengua sabor sudor suelo ropa jueverotic,Microficción
2444,OMS urge a los países vacunar 'lo más rápido posible' https://t.co/vY0KNzYeu4 https://t.co/jeXzCuAsZH,programa pasión lectura vendieron casi mil ejemplares méxico extranjero,Noticia
6922,"@DagmarSola Para mí una historia original es que no sea predecible, que presente la trama de una manera diferente, que no caiga en estereotipos ni lugares comunes. Porque, pese a que todo esté inventado, hay formas y formas de contar las cosas.",dagmarsola historia original predecible presente trama manera diferente caiga estereotipos lugares comunes pese inventado formas formas contar cosas,Microficción
3427,"Pelosi afirma que varios congresistas estadounidenses 'ayudaron' a los asaltantes del Capitolio
https://t.co/39vPqDN3Fp https://t.co/vPvoT96yUe",confianza pide gana,Noticia
3389,Trump indulta a su exasesor político Steve Bannon poco antes de salir de la Casa Blanca https://t.co/NHkOwlOch9 https://t.co/TjE184XLof,siempre existirá persona debilidad,Noticia
1615,"""Madurar es darte cuenta que el amor de tu vida no es una princesa ni un príncipe de un cuento, sino una persona perfectamente imperfecta.""",audiencia final extradición césar duarte concluye sentencia,Frase/Pensamiento
5000,- Odio que se caigan las cosas - se lamentó el Orden. - Yo lo que detesto es recogerlas - dijo el Caos.,odio caigan cosas lamentó orden detesto recogerlas dijo caos,Microficción
6016,Le clavó el hacha y se quedó atorada. Tuvo que arrancarle la cabeza para poder perseguir a la chica que huyó de la cabaña. #MicroHorror,clavó hacha quedó atorada arrancarle cabeza poder perseguir chica huyó cabaña microhorror,Microficción
7499,Tardó toda una vida en disfrutar de su trabajo. Tardó en encontrar su vocación.Pasó de trabajar en un Vips a ser torturador en el inframundo.,tardó toda vida disfrutar trabajo tardó encontrar vocaciónpasó trabajar vips ser torturador inframundo,Microficción
7395,"Luché un martes contra tu desidia, prefería eso que afrontar tus mentiras. #martesmge",luché martes desidia prefería afrontar mentiras martesmge,Microficción
1286,"""No sueñes tu vida, vive tu sueño.""",aristeguienvivo frente cambio cultural eeuu llaman atención símbolos cultura popular lady gaga voz jlo dice césar villanueva especialista dpto relaciones internacionales u iberoamericana,Frase/Pensamiento
5170,"La fiesta fue a nivel mundial. Una extraña plaga había acabado con la raza humana y fauna y flora, en plena euforia, sacaron sus mejores galas. El verano tuvo que acabar lleno de colores. #mismofinal",fiesta nivel mundial extraña plaga acabado raza humana fauna flora plena euforia sacaron mejores galas verano acabar lleno colores mismofinal,Microficción
2599,"Vacuna rusa Sputnik V sólo se usará con autorización de Cofepris: López-Gatell
https://t.co/vEo3jMW4CY https://t.co/Ywl453kN57",distinguen laurent raymond loinard premio academia ciencias mundo desarrollo video,Noticia
6686,"Es necesario estar a la moda. Si se llevan los labios gruesos, ¿por qué no darme el capricho? Le dijo a la chica que, manoseada, veía cómo movían frente a ella un pulido bisturí.",necesario moda si llevan labios gruesos darme capricho dijo chica manoseada veía cómo movían frente pulido bisturí,Microficción
4588,"#AristeguiEnVivo | No creo que estemos ante un fenómeno que desemboque en una mutación civilizatoria. Los factores económicos, culturales y políticos tienen una incidencia en toda la situación, explica @RMandressi, Dir. adjunto del Centro Alexandre-Koyré https://t.co/PWGJILaDrM https://t.co/wAQhFmglQe",ganas cerrar ojos vuelva ser,Noticia
3467,Muere por Covid-19 el productor Phil Spector en una cárcel de California https://t.co/L21f536GFF https://t.co/aluvmBG5cY,pagues misma moneda demuestra mejor,Noticia
2380,Córdova se hizo de la vista gorda ante fraudes e ilegalidades: AMLO https://t.co/yLr4S4LSuy https://t.co/tqIfPw7Jqf,difícil distinguir orgánico manipulado razones manipular tendencias creer posicionarse siempre bueno twitter moverlo análisis porras hugorodriguezn,Noticia
2399,"Brasil está arruinado y no se puede hacer nada: Bolsonaro
https://t.co/HqKcOdJUtB https://t.co/gwkYHIawMg",deportes nfl playoffs superan bills ronda comodines afc video,Noticia
1014,"Quien te quiere comprenderá tres cosas: el dolor detrás de tu sonrisa, el amor detrás de tu rabia y las razones detrás de tu silencio.",aristeguienvivo debe revalorar modelo periodismo contribuyó assange través wikileaks partir surgieron nuevas iniciativas crear puentes información defender derecho información analilia_perezm,Frase/Pensamiento
139,"Coincidir es un lujo, pero conectar es algo superior.",carlos villagrán kiko registra precandidato gubernatura querétaro,Frase/Pensamiento
7206,"La hiena olió la sangre un martes. Conocía las leyes de la selva, pero claro, las leyes están para saltárselas si eres tú quien lo hace. Se acercó a la leona que paría sola en mitad de la sabana. Esa noche cenó cachorro. #martesmge",hiena olió sangre martes conocía leyes selva claro leyes saltárselas si hace acercó leona paría sola mitad sabana noche cenó cachorro martesmge,Microficción
5375,-Esto es muy importante-le dije a mi yo puberto. -No desconectes la máquina de respirar del abuelo para cargar tu móvil.,importantele dije puberto desconectes máquina respirar abuelo cargar móvil,Microficción
1310,"La vida te pondrá obstáculos, pero los límites los pones tú.",ve amlo prepotencia zuckerberg tras bloqueo trump facebook instagram,Frase/Pensamiento
5934,"Corría sin parar buscando una salida, y no dejaba de comer para apaciguar su miedo a los fantasmas que le perseguían.",corría parar buscando salida dejaba comer apaciguar miedo fantasmas perseguían,Microficción
2545,Vuelca camioneta en CDMX con 150 kilos de ‘polvo blanco’ en compartimento secreto https://t.co/hTNJoUV0P0 https://t.co/5KjtRGr2ir,seguirá carrera mesut özil fenerbahce,Noticia
2673,Se empieza a develar el tamaño de la pandemia en México: Mesa de Análisis https://t.co/zY0chkN5OR https://t.co/qHGinB9AUS,herida sane dejar tocarla,Noticia
1325,"“Si quieres ser feliz; no escuches todo lo que te dicen, no creas todo lo que ves y no digas todo lo que sabes.”",lomejordearisteguienvivo pacientes covid sufran mueran soledad misión médicos clave evitar depresión niños save the children video,Frase/Pensamiento
3445,España confirma la prisión para el creador del antivirus McAfee https://t.co/ROF9gZjEtX https://t.co/4DnR8B4282,quédate persona tocarte haga sentir 3msc,Noticia
6939,"El martes vi el primer zombie, mamá. No sabía cómo actuar, parecía inofensivo. El sargento me dijo que hay muchos, que tras las explosiones muchos así se quedan durante días, da igual la edad. Mamá, nunca debí hacerme militar #martesmge",martes vi primer zombie mamá sabía cómo actuar parecía inofensivo sargento dijo tras explosiones así quedan días da igual edad mamá nunca debí hacerme militar martesmge,Microficción
387,"La vida es corta: rompe reglas, besa despacio, ama de verdad, ríe mucho y nunca te arrepientas de lo que te hizo sonreír.",juan villoro coordinará serie cursos gratuitos literatura iberoamericana,Frase/Pensamiento
31,Que bonito! https://t.co/6iCRCxh8sc,últimahora amlo da positivo covid19,Frase/Pensamiento
472,"Si no puedes volar, corre; si no puedes correr, camina; si no puedes caminar, gatea; pero hagas lo que hagas tienes que salir adelante.",revisa fgeguerrero acusación salgado macedonio abre investigación ex fiscal oléa,Frase/Pensamiento
5790,Se reían del enano hasta que el granero ardió. Le sacaron por un hueco para que les abriera. Fue entonces cuando rió él.,reían enano granero ardió sacaron hueco abriera entonces rió,Microficción
2322,"El 4 de abril debe suspenderse transmisión íntegra de conferencias de AMLO: Lorenzo Córdova
https://t.co/UkZx6ohCBB https://t.co/psfk4jRBJb",nueva novela kazuo ishiguro circulará méxico mediados,Noticia
546,Abracen mucho que el tiempo vuela.,trump buscará medios descarrilar presidencia biden investigador,Frase/Pensamiento
6082,"@EdyNightmare Estaban en mitad del desierto. Afortunadamente, para torturar a alguien era muy fácil improvisar.",edynightmare mitad desierto afortunadamente torturar alguien fácil improvisar,Microficción
3652,Queman 26 casas y desplazan 43 familias en Chiapas por disputa de tierras https://t.co/VoHSPMTgjv https://t.co/zlw3f4eksN,importante olvidar recordar duela,Noticia
